first_authors;master_study_number;study_number;study_area;ID;study_title;study_date;incidence_YN;denominator;incidence_definition;incidence_diagnostics;case_numbers_vivax;case_numbers_falciparum;case_numbers_mixed;incidence_rate_vivax;incidence_rate_vivax_loCI;incidence_rate_vivax_upCI;incidence_rate_falciparum;incidence_rate_falciparum_loCI;incidence_rate_falciparum_upCI;incidence_rate_mixed;incidence_rate_mixed_loCI;incidence_rate_mixed_upCI;incidence_rate_all;incidence_rate_all_loCI;incidence_rate_all_upCI;mixed_what_done;unit_incidence_rate;date_start_incidence;sample_size_incidence_number_people;date_end_incidence;comments_incidence;prevalence_YN;prevalence_vivax_LM;prevalence_vivax_LM_loCI;prevalence_vivax_LM_upCI;prevalence_falciparum_LM;prevalence_falciparum_LM_loCI;prevalence_falciparum_LM_upCI;prevalence_mixed_LM;prevalence_mixed_LM_loCI;prevalence_mixed_LM_upCI;prevalence_total_LM;prevalence_total_LM_loCI;prevalence_total_LM_upCI;prevalence_vivax_PCR;prevalence_vivax_PCR_loCI;prevalence_vivax_PCR_upCI;prevalence_falciparum_PCR;prevalence_falciparum_PCR_loCI;prevalence_falciparum_PCR_upCI;prevalence_mixed_PCR;prevalence_mixed_PCR_loCI;prevalence_mixed_PCR_upCI;prevalence_total_PCR;prevalence_total_PCR_loCI;prevalence_total_PCR_upCI;prevalence_vivax_RDT;prevalence_vivax_RDT_loCI;prevalence_vivax_RDT_upCI;prevalence_falciparum_RDT;prevalence_falciparum_RDt_loCI;prevalence_falciparum_RDT_upCI;prevalence_mixed_RDT;prevalence_mixed_RDT_loCI;prevalence_mixed_RDT_upCI;prevalence_total_RDT;prevalence_total_RDT_loCI;prevalence_total_RDT_upCI;pr_numb_vivax_LM;pr_numb_falciparum_LM;pr_numb_mixed_LM;pr_numb_total_LM;pr_numb_vivax_PCR;pr_numb_falciparum_PCR;pr_numb_mixed_PCR;pr_numb_total_PCR;pr_what_done_mixed;prevalence_PCR_diagnostic_method;date_start_prevalence;date_end_prevalence;sample_size_prevalence;comments_prevalence;intervention_YN;mode_control;Intervention1;Intervention2;Intervention3;Intervention5;Intervention6;Intervention4;Intervention7;Intervention8;Intervention9;coverage1;coverage2;coverage3;coverage4;coverage6;coverage5;coverage7;coverage8;coverage9;implementation1_start;implementation1_end;implementation2_start;implementation2_end;implementation3_start;implementation3_end;implementation4_start;implementation4_end;implementation5_start;implementation6_start;implementation6_end;implementation5_end;implementation7_start;implementation7_end;implementation8_start;implementation8_end;implementation9_start;implementation9_end;implementation_dates_exact;implementation_dates_exact_comment;baselin_intervention;standard_of_care;relapse_pattern_mean_number;relapse_pattern_white;relapse_pattern_zone;relapse_pattern_mean_days;seasonality;season_survey_incidence;season_survey_prevalence;transmission;age_incidence;age_prevalence;cluster_trial_concern;cluster_trial_addressed;numb_cluster;data_available;comments;latitude;longitude;study_type;transmission_vivax;transmission_falciparum;trans_viv_int1;trans_viv_int2;trans_viv_int3;trans_viv_int4;trans_falc_int1;trans_falc_int2;trans_falc_int3;trans_falc_int4
Rodriguez-Rodriguez, Daniela;9;10;Papua New Guinea, Arawa;53;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilities in Papua New Guinea;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;0;29;0;0;;;4;;;;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2011;15447;31.12.2011;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 3rd round;;;;;;;;;self reported use after distribution:69% in 2013 and 48% in 2014;;;;;;;;;01.09.2013;30.09.2013;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;2nd distribution of nets 2 months before they started surveillance in 2011;amodiaquine or cloroquine plus SP, switch(august2012) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-6.229032;155.570171;observational;2.897;21.684;low;;;;low;;;
Rodriguez-Rodriguez, Daniela;9;10;Papua New Guinea, Arawa;54;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;16;140;0;2;;;18;;;;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2012;15447;31.12.2012;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 3rd round;;;;;;;;;self reported use after distribution:69% in 2013 and 48% in 2014;;;;;;;;;01.09.2013;30.09.2013;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;2nd distribution of nets 2 months before they started surveillance in 2011;amodiaquine or cloroquine plus SP, switch(august2012) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-6.229032;155.570171;observational;2.71;20.362;low;;;;low;;;
Rodriguez-Rodriguez, Daniela;9;10;Papua New Guinea, Arawa;55;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;26;193;0;2;;;15;;;;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2013;15447;31.12.2013;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 3rd round;;;;;;;;;self reported use after distribution:69% in 2013 and 48% in 2014;;;;;;;;;01.09.2013;30.09.2013;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;2nd distribution of nets 2 months before they started surveillance in 2011;amodiaquine or cloroquine plus SP, switch(august2012) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-6.229032;155.570171;observational;2.88;22.681;low;;;;low;;;
Rodriguez-Rodriguez, Daniela;9;10;Papua New Guinea, Arawa;56;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;0;35;0;0;;;10;;;;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2014;15447;31.12.2014;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 3rd round;;;;;;;;;self reported use after distribution:69% in 2013 and 48% in 2014;;;;;;;;;01.09.2013;30.09.2013;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;2nd distribution of nets 2 months before they started surveillance in 2011;amodiaquine or cloroquine plus SP, switch(august2012) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-6.229032;155.570171;observational;2.527;19.564;low;;;;low;;;
Rodriguez-Rodriguez, Daniela;9;12;Papua New Guinea, Dreikikir;61;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;15;102;0;2;;;14;;;;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.06.2011;24359;31.12.2011;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;;;;;;;;;self repordet: 77%, 89%, 86% in 2012,13,14;;;;;;;;;01.10.2012;31.10.2012;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;previous 1st LLIN distributipon but over a year before;amodiaquine or cloroquine plus SP, switch(october2011) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-3.576596;142.771808;observational;3.806;2.34;low;;;;low;;;
Rodriguez-Rodriguez, Daniela;9;12;Papua New Guinea, Dreikikir;62;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;16;450;0;1;;;29;;;;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2012;24359;31.12.2012;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;;;;;;;;;self repordet: 77%, 89%, 86% in 2012,13,14;;;;;;;;;01.10.2012;31.10.2012;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;previous 1st LLIN distributipon but over a year before;amodiaquine or cloroquine plus SP, switch(october2011) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-3.576596;142.771808;observational;3.648;1.63;low;;;;low;;;
Rodriguez-Rodriguez, Daniela;9;12;Papua New Guinea, Dreikikir;63;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;15;89;0;2;;;12;;;;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2013;24359;31.12.2013;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;;;;;;;;;self repordet: 77%, 89%, 86% in 2012,13,14;;;;;;;;;01.10.2012;31.10.2012;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;previous 1st LLIN distributipon but over a year before;amodiaquine or cloroquine plus SP, switch(october2011) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-3.576596;142.771808;observational;3.924;2.028;low;;;;low;;;
Rodriguez-Rodriguez, Daniela;9;12;Papua New Guinea, Dreikikir;64;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;32;159;0;4;;;20;;;;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2014;24359;31.12.2014;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;;;;;;;;;self repordet: 77%, 89%, 86% in 2012,13,14;;;;;;;;;01.10.2012;31.10.2012;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;previous 1st LLIN distributipon but over a year before;amodiaquine or cloroquine plus SP, switch(october2011) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-3.576596;142.771808;observational;3.462;1.105;low;;;;low;;;
Rodriguez-Rodriguez, Daniela;9;13;Papua New Guinea, East Cape;65;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;42;603;10;4;;;58;;;1;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.02.2010;5684;31.12.2010;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;LLIN 3rd round;;;;;;;;self reported: 73%,53%,61% in 2011,12,13;self reported use: 69%;;;;;;;;01.01.2011;31.01.2011;01.01.2014;31.01.2014;;;;;;;;;;;;;;;WAHR;yes gives exact month;1st LLIn distribution more than two years ago;amodiaquine or cloroquine plus SP, switch(jan2012) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.4;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-10.232542;150.871186;observational;1.171;0.007;low;low;;;high;high;;
Rodriguez-Rodriguez, Daniela;9;13;Papua New Guinea, East Cape;66;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;93;576;16;6;;;37;;;1;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2011;5684;31.12.2011;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;LLIN 3rd round;;;;;;;;self reported: 73%,53%,61% in 2011,12,13;self reported use: 69%;;;;;;;;01.01.2011;31.01.2011;01.01.2014;31.01.2014;;;;;;;;;;;;;;;WAHR;yes gives exact month;1st LLIn distribution more than two years ago;amodiaquine or cloroquine plus SP, switch(jan2012) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.4;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-10.232542;150.871186;observational;1.116;0.006;low;low;;;high;high;;
Rodriguez-Rodriguez, Daniela;9;13;Papua New Guinea, East Cape;67;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;76;988;19;4;;;52;;;1;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2012;5684;31.12.2012;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;LLIN 3rd round;;;;;;;;self reported: 73%,53%,61% in 2011,12,13;self reported use: 69%;;;;;;;;01.01.2011;31.01.2011;01.01.2014;31.01.2014;;;;;;;;;;;;;;;WAHR;yes gives exact month;1st LLIn distribution more than two years ago;amodiaquine or cloroquine plus SP, switch(jan2012) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.4;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-10.232542;150.871186;observational;1.133;0.011;low;low;;;high;high;;
Rodriguez-Rodriguez, Daniela;9;13;Papua New Guinea, East Cape;68;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;36;843;0;2;;;47;;;0;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2013;5684;31.12.2013;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;LLIN 3rd round;;;;;;;;self reported: 73%,53%,61% in 2011,12,13;self reported use: 69%;;;;;;;;01.01.2011;31.01.2011;01.01.2014;31.01.2014;;;;;;;;;;;;;;;WAHR;yes gives exact month;1st LLIn distribution more than two years ago;amodiaquine or cloroquine plus SP, switch(jan2012) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.4;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-10.232542;150.871186;observational;1.316;0.064;low;low;;;high;high;;
Rodriguez-Rodriguez, Daniela;9;13;Papua New Guinea, East Cape;69;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;17;273;9;2;;;32;;;1;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2014;5684;31.12.2014;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;LLIN 3rd round;;;;;;;;self reported: 73%,53%,61% in 2011,12,13;self reported use: 69%;;;;;;;;01.01.2011;31.01.2011;01.01.2014;31.01.2014;;;;;;;;;;;;;;;WAHR;yes gives exact month;1st LLIn distribution more than two years ago;amodiaquine or cloroquine plus SP, switch(jan2012) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.4;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-10.232542;150.871186;observational;1.259;0.064;low;low;;;high;high;;
Rodriguez-Rodriguez, Daniela;9;14;Papua New Guinea, Karimui;70;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;24;137;4;11;;;62;;;2;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.11.2010;8506;31.12.2010;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;LLIN 3rd round;;;;;;;;self reported: 93%,77%,59%,70% in 2011,12,13,14;selfrepored use99%;;;;;;;;01.07.2011;31.07.2011;01.04.2014;30.04.2014;;;;;;;;;;;;;;;WAHR;yes gives exact month;1st LLIN more than three years ago;amodiaquine or cloroquine plus SP, switch(april2012) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;wet;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-6.491262;144.820576;observational;2.986;0.671;low;low;;;low;low;;
Rodriguez-Rodriguez, Daniela;9;14;Papua New Guinea, Karimui;71;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;134;151;17;16;;;18;;;2;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2011;8506;31.12.2011;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;LLIN 3rd round;;;;;;;;self reported: 93%,77%,59%,70% in 2011,12,13,14;selfrepored use99%;;;;;;;;01.07.2011;31.07.2011;01.04.2014;30.04.2014;;;;;;;;;;;;;;;WAHR;yes gives exact month;1st LLIN more than three years ago;amodiaquine or cloroquine plus SP, switch(april2012) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-6.491262;144.820576;observational;2.844;0.522;low;low;;;low;low;;
Rodriguez-Rodriguez, Daniela;9;14;Papua New Guinea, Karimui;74;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;0;6;0;0;;;1;;;0;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2014;8506;31.12.2014;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;LLIN 3rd round;;;;;;;;self reported: 93%,77%,59%,70% in 2011,12,13,14;selfrepored use99%;;;;;;;;01.07.2011;31.07.2011;01.04.2014;30.04.2014;;;;;;;;;;;;;;;WAHR;yes gives exact month;1st LLIN more than three years ago;amodiaquine or cloroquine plus SP, switch(april2012) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-6.491262;144.820576;observational;3.137;0.97;low;low;;;low;low;;
Rodriguez-Rodriguez, Daniela;9;15;Papua New Guinea, Lemakot;75;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;172;998;34;5;;;29;;;1;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2011;10384;31.12.2011;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 3rd round;;;;;;;;;self reported: 47% and 48% in 2013 and 2014;;;;;;;;;01.05.2013;31.05.2013;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;2nd LLIn dsitribution five months before surveillance started;amodiaquine or cloroquine plus SP, switch(dec2011) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-2.881108;151.226248;observational;3.239;7.844;low;;;;high;;;
Rodriguez-Rodriguez, Daniela;9;15;Papua New Guinea, Lemakot;76;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;400;1631;31;13;;;53;;;1;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2012;10384;31.12.2012;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 3rd round;;;;;;;;;self reported: 47% and 48% in 2013 and 2014;;;;;;;;;01.05.2013;31.05.2013;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;2nd LLIn dsitribution five months before surveillance started;amodiaquine or cloroquine plus SP, switch(dec2011) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-2.881108;151.226248;observational;3.099;7.437;low;;;;high;;;
Rodriguez-Rodriguez, Daniela;9;15;Papua New Guinea, Lemakot;77;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;141;482;0;7;;;24;;;0;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2013;10384;31.12.2013;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 3rd round;;;;;;;;;self reported: 47% and 48% in 2013 and 2014;;;;;;;;;01.05.2013;31.05.2013;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;2nd LLIn dsitribution five months before surveillance started;amodiaquine or cloroquine plus SP, switch(dec2011) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-2.881108;151.226248;observational;3.353;9.793;low;;;;high;;;
Rodriguez-Rodriguez, Daniela;9;15;Papua New Guinea, Lemakot;78;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;47;174;0;4;;;15;;;0;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.01.2014;10384;31.12.2014;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 3rd round;;;;;;;;;self reported: 47% and 48% in 2013 and 2014;;;;;;;;;01.05.2013;31.05.2013;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;2nd LLIn dsitribution five months before surveillance started;amodiaquine or cloroquine plus SP, switch(dec2011) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-2.881108;151.226248;observational;2.988;8.09;low;;;;high;;;
Rodriguez-Rodriguez, Daniela;9;16;Papua New Guinea, Sausi;79;Repeated mosquito net distributions, improved treatment, and trends in malaria cases in sentinel health facilitie;2019;WAHR;FALSCH;(history of) fever in patients that visit SHF and RDT positive;RDT positive and then species determination with LM;0;30;0;0;;;21;;;;;;;;;counted seperately;number of 100 fever cases caused by malaria species;01.08.2010;5158;31.12.2010;web plot digitizer,not actual incidence rate!!some have 'no species data available' but very few, so not a big issue;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN 2nd round;;;;;;;;;selfreported use: always above 98% in 2012 until 2014;;;;;;;;;01.09.2012;30.09.2012;;;;;;;;;;;;;;;;;WAHR;yes gives exact month;there was a previous LLIn distribution (pretty high coverage from this already), 3rd intervention started as well towards to end(july2014) but mid point after midpoint of incidence measurement… migth have some influence though;amodiaquine or cloroquine plus SP, switch(dec2011) to ACT (AL) and primaquine with Pvivax (not 'consistently' done though);;frequent;12;;0.2;both;NA;;all ages;NA;no because already sentonel sites taken seperately;not necessary;NA;WAHR;data upon reasonable request;-5.691512;145.519044;observational;4.504;1.104;low;;;;low;;;
